artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
Roxy Music,Love Is the Drug,,EG,4,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Cribs,A Point Too Hard To Make,,Sonic Blew Records under exclusive licence to Play It Again Sam,5,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Clairo,Add Up My Love,,Virgin Music Group,6,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Stone Roses,I Wanna Be Adored,The Stone Roses,Silvertone,7,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Stone Roses,She Bangs The Drums,The Stone Roses,Silvertone,8,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Stone Roses,Waterfall,The Stone Roses,Silvertone,9,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Stone Roses,Don't Stop,The Stone Roses,Silvertone,10,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Stone Roses,Bye Bye Badman,The Stone Roses,Silvertone,11,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Stone Roses,Elizabeth My Dear,The Stone Roses,Silvertone,12,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Stone Roses,(Song For My) Sugar Spun Sister,The Stone Roses,Silvertone,13,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Stone Roses,Made Of Stone,The Stone Roses,Silvertone,14,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Stone Roses,Shoot You Down,The Stone Roses,Silvertone,15,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Stone Roses,This Is The One,The Stone Roses,Silvertone,16,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
The Stone Roses,I Am the Resurrection,The Stone Roses,Silvertone,17,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
JusticeSimian,We Are Your Friends,CD SINGLE,Ten Records,18,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
ROSALÍABjörkYves Tumor,BerghainBjörkYves Tumor,,Columbia,19,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Smerz,Easy (Astrid Sonne EDIT),,escho,20,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Midland,Final Credits,Final Credits,Classic Music Company,21,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Chris LiebingSpeedy J,Spiegeling,,,22,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Grace Jones,Williams' Blood,CD SINGLE,WALL OF SOUND RECORDINGS,23,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
ThundercatRemi Wolf,Children of the Baked PotatoRemi Wolf,,Brainfeeder,24,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Kelly Lee Owens,ASCEND,,dh2,25,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Basement Jaxx,Where's Your Head At,,XL,26,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Cat Power,White Mustang,,Domino,27,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
jasmine.4.tJacob Alon,Find Ur PplJacob Alon,,All Things Go Records,28,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Blood Orange,"Vivid Light (6Music Session, 12th November 2025)",,,29,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Nubiyan TwistFatoumata Diawara,Chasing ShadowsFatoumata Diawara,,Strut,30,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
"Mandy, Indiana",Magazine,,Sacred  Bones,31,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Just Mustard,ENDLESS DEATHLESS,,Partisan,32,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
corto.altoanaiis,APRIL,,Ninja Tune,33,Nick Grimshaw,Kelly Lee Owens & Mani tribute,2025-11-21T07:00:00+00:00
Pulp,Babies,,Island,0,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
jasmine.4.tJacob Alon,Find Ur PplJacob Alon,,All Things Go Records,1,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
The Pointer Sisters,Yes We Can Can,Maid In Manhattan - Music from the Motion Picture,Epic/Sony Music Soundtrax,2,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
J. Caesar,Daisy Chain Music,,J. Caesar,3,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Tirzah,I'm Not Dancing,I'm Not Dancing,Domino Recording Co,4,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
james K,On God,,AD93,5,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
The Stone Roses,What The World Is Waiting For,WHAT THE WORLD IS WAITING FOR,Silvertone,6,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Mk.gee,Are You Looking Up,,R&R Digital,7,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Depeche Mode,Personal Jesus,,Mute Records,8,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Double 99,Rip Groove,,Satellite,9,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Missy Elliott,Throw It Back,,Atlantic Records,10,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Funkadelic,Can You Get To That,,Westbound Records ‎,11,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Pa SalieuMahalia,EnergyMahalia,,Warner Records,12,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Lynks,Hey Joe (Relax),,LynksCorp!,13,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
GorillazIDLES,The God Of Lying,,Kong,14,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
King Bee,Back By Dope Demand,,1st Bass,15,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
DJ Zinc,138 Trek,138 Trek,Phase:One,16,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Honey DijonAnnette BowenNikki‐O,Downtown,,CLASSIC MUSIC COMPANY,17,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Cold War Kids,Hang Me Up To Dry,HANG ME UP TO DRY,Power Exchange,18,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Kate Bush,Running Up That Hill (A Deal With God),,EMI,19,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Jessie Ware,If You're Never Gonna Move,,PMR Records,20,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Lauren Auder,yes,,untitled (recs),21,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Emma‐Jean ThackrayReggie Watts,Black HoleReggie Watts,,Brownswood Recordings,22,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
De La Soul,The Package,,Mass Appeal,23,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Mogwai,Glasgow Mega-Snake,,PIAS/Matador,24,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Chalk,Can't Feel It,,Alter Music,25,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
The Internet,Roll (Burbank Funk),,Columbia,26,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Queens of the Stone Age,I Sat By The Ocean,,Matador,27,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Florence + the Machine,Sympathy Magic,,Polydor,28,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Ben KlockFadi MohemFlowdan,Our SectorFlowdan,,,29,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Buena Vista Social Club,Chan Chan,,World Circuit,30,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Kojey RadicalPlanet Giza,ExpensivePlanet Giza,,Atlantic Records,31,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Murkage Dave,Swordfight In A Chicken Shop,,,32,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Romy,Love Who You Love,,Young,33,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
HAIM,Relationships,,Polydor,34,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Geese,Cobra,,Partisan,35,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Say She She,"Reeling (6 Music Session, 18th November 2025)",,,36,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
The Sophs,I'M YOUR FIEND,,Rough Trade Records,37,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Chris LiebingSpeedy J,Spiegeling,,,38,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Sassy 009Blood Orange,Tell MeBlood Orange,,HEAVEN-SENT,39,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
NasDamian “Jr. Gong” Marley,As We Enter,,Island,40,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-20T07:00:00+00:00
Yasiin Bey,Quiet Dog,,Downtown,0,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
ThundercatRemi Wolf,Children of the Baked PotatoRemi Wolf,,Brainfeeder,1,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Joey Beltram,Energy Flash,,R&S,2,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Hercules & Love Affair,Someone Else Is Calling,,Stratasonic,3,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Real Estate,Water Underground,,Domino,4,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Snocaps,Heathcliff,,ANTI-,5,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Sade,The Sweetest Taboo,Promise,Epic,6,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Baccara,"Yes Sir, I Can Boogie",Million Sellers Vol.14 - The Seventie,Disky,7,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Goldfrapp,Ooh La La,,Mute,8,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
2PacDr. DreRoger Troutman,California LoveDr. DreRoger Troutman,,DEATH ROW,9,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Chairlift,I Belong In Your Arms,I Belong In Your Arms,YOUNG TURKS,10,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
The Isley Brothers,That Lady (Part 1),,Epic,11,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
The Hives,Main Offender,,Universal Music,12,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Turnstile,I CARE,,Roadrunner Records,13,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
The Chemical BrothersNoel Gallagher,Let Forever BeNoel Gallagher,,ASTRAL WERKS,14,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Talking Heads,This Must Be The Place (Naive Melody),,EMI,15,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
English Teacher,Nearly Daffodils,,Island,16,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Brakes,All Night Disco Party,,Rough Trade Records,17,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Sleeper,Inbetweener,,Indolent,18,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
The Shins,Australia,CD SINGLE,Subpop,19,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Danny Brown,Starburst,,Warp,20,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Wolf Alice,How Can I Make It OK?,,Dirty Hit,21,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
ROSALÍA,Divinize,,Columbia,22,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Wu-Tang Clan,NG C.R.E.A.M. BED,C.R.E.A.M. (Cash Rules Everything Around Me),RCA/Legacy,23,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
TresorMsaki,SondelaMsaki,Sondela,Universal Music (Pty) Ltd.,24,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
The Cribs,A Point Too Hard To Make,,Sonic Blew Records under exclusive licence to Play It Again Sam,25,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
J. Caesar,Daisy Chain Music,,J. Caesar,26,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Elliott Smith,Baby Britain,,Dreamworks,27,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
jasmine.4.tJacob Alon,Find Ur PplJacob Alon,,All Things Go Records,28,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Shygirl,Freak,,Because Music,29,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
ShygirlYseult,F*meYseult,,Because Music,30,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Sleaford ModsBig SpecialGwendoline Christie,The Good LifeBig SpecialGwendoline Christie,,Rough Trade,31,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Peaches,Lose You,I Feel Cream,XL Recordings,32,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Robyn,Dopamine,,Young,33,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Mac DeMarco,"Holy (6 Music Session, 11 Nov 2025)",,,34,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Erika de Casier,Delusional,,Independent Jeep Music,35,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Murkage Dave,Swordfight In A Chicken Shop,,,36,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Melody’s Echo Chamber,In The Stars,,Domino,37,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Stevie Wonder,Uptight (Everything's Alright),,Motown,38,Nick Grimshaw,Shygirl,2025-11-19T07:00:00+00:00
Grimes,Oblivion,,4 A.D,0,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Florence + the Machine,Sympathy Magic,,Polydor,1,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Jurassic 5,Quality Control,,Interscope,2,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
FKA twigs,Predictable Girl,,,3,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
MJ Lenderman,Wristwatch,,Anti-,4,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Gretel,Maybelline,,Breadcrumb Records,5,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Fugazi,Waiting Room,,Dischord,6,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
The Breeders,I Just Wanna Get Along,Last Splash,4AD,7,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Vampire Weekend,Sunflower,,Columbia Records,8,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
OutKast,Roses,,BMG,9,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Aztec Camera,Walk Out to Winter,,ROUGH TRADE,10,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
The Pains of Being Pure at Heart,Heart in Your Heartbreak,Heart in Your Heartbreak,Slumberland Records,11,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Bruce SpringsteenThe E Street Band,Born To Run,,COLUMBIA,12,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
De La Soul,The Package,,Mass Appeal,13,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Propaganda,Duel,,ZTT,14,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Friendly Fires,Kiss Of Life,KISS OF LIFE,XL,15,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Electric Six,Danger! High Voltage!,,XL,16,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
The Wannadies,Hit,,Indolent,17,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Bicep,Glue,,Ninja Tune,18,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
808 State,In Yer Face,Now That's What I Call Music 19 CD1,ZTT Records Ltd,19,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Charli xcx,Von dutch,,Atlantic,20,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Mura Masa,I'm Really Hot (For Myself),,Pond Recordings,21,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Warpaint,Common Blue,,Rough Trade,22,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Geese,Cobra,,Partisan,23,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
The Human League,Being Boiled,,Virgin,24,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Fcukers,Play Me,,Ninja Tune,25,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Santigold,L.E.S. Artistes,CD SINGLE,Atlantic,26,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Charlotte Day Wilson,Selfish,,,27,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Echo & the Bunnymen,Silver,,Korova,28,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Roberta FlackDonny Hathaway,I (Who Have Nothing),Roberta Flack & Donny Hathaway,Rhino Atlantic,29,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Styles PPharoahe Monch,The LifePharoahe Monch,,MCA Records,30,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Shygirl,Cleo,,Because Music,31,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Droogie OtisKiller Mike,The EdgeKiller Mike,,Beat Konducta,32,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
corto.altoanaiis,APRIL,,Ninja Tune,33,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Self Esteem,I Do This All The Time,,Universal,34,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Ezra Furman,One Hand Free,,Bella Union,35,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Labi Siffre,Bless The Telephone,The Singer & The Song,Edsel,36,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Introspekt,Prototype III,,Tempa,37,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Chalk,Can't Feel It,,Alter Music,38,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
William Onyeabor,Fantastic Man,World Psychedelic Classics 5: Who Is William Onyeabor?,Luaka Bop,39,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-18T07:00:00+00:00
Rufus Wainwright,I Don't Know What It Is,,Dreamworks,0,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
ROSALÍA,Divinize,,Columbia,1,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Queen LatifahMonie Love,Ladies First,,TOMMY BOY RECORDS,2,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Cat Florence,Kay,,,3,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
The Jesus and Mary Chain,Some Candy Talking,,Blanco Y Negro,4,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Just Mustard,ENDLESS DEATHLESS,,Partisan,5,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Sleater‐Kinney,Her Again,Sleater-Kinney,Matador,6,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Cerrone,Supernature,Cerrone - Supernature,Malligator,7,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Leon Bridges,Bad Bad News,,Columbia,8,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Future Islands,Seasons (Waiting On You),,4AD,9,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Sneaker Pimps,Spin Spin Sugar,,Clean Up Records,10,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Bloc Party,Little Thoughts,,Wichita,11,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Salt‐N‐PepaEn Vogue,Whatta ManEn Vogue,,FFRR,12,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Robyn,Dopamine,,Young,13,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Yeah Yeah Yeahs,Date With the Night,,Polydor,14,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Rahim Redcar (AKA: Christine and the Queens)Dâm-Funk,GirlfriendDâm-Funk,,Because Music Ltd,15,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Arrested Development,Mr. Wendal,,Cool Temp,16,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Freeez,I.O.U.,Club Classics From The 80's (Various),Disky,17,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Whitney Houston,Million Dollar Bill,(CD Single),Arista,18,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Otis Redding,Respect,,ATLANTIC,19,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Moonchild Sanelly,Scrambled Eggs,,Transgressive,20,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Romy,Love Who You Love,,Young,21,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
The Clash,Bankrobber,,CBS,22,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
GorillazIDLES,The God Of Lying,,Kong,23,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
james K,On God,,AD93,24,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Goat Girl,The Man,,Rough Trade Records,25,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Turnstile,I CARE,,Roadrunner Records,26,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Hercules & Love Affair,Someone Else Is Calling,,Stratasonic,27,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Adonis,We're Rocking Down the House (Radio Edit),,The Orchard Enterprises,28,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Loefah,Disco Rekah,Disco Rekah,DEEP MEDi MUSIK,29,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Water From Your Eyes,Playing Classics,,Matador,30,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Sampa the GreatMwanje Tembo,Can't Hold UsMwanje Tembo,,,31,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Sassy 009Blood Orange,Tell MeBlood Orange,,HEAVEN-SENT,32,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Janelle MonáeBig Boi,TightropeBig Boi,CD SINGLE,Bad Boy,33,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Danny Brown,Starburst,,Warp,34,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Los Wembler’s de Iquitos,La Danza Del Petrolero,,Los Wembler's de Iquitos,35,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
CMAT,When A Good Man Cries,,CMATBaby / AWAL,36,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Snocaps,Heathcliff,,ANTI-,37,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
Beth Orton,1973,,Anti Records,38,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-17T07:00:00+00:00
The Strokes,What Ever Happened?,,Rough Trade Records,0,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
Turnstile,I CARE,,Roadrunner Records,1,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
Nightmares on Wax,Aftermath (LFO Remix),Aftermath,Warp Records,2,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
Hercules & Love Affair,Someone Else Is Calling,,Stratasonic,3,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
Daughter,Burn It Down,,4AD,4,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
Westside Cowboy,Don't Throw Rocks,,Adventure Recordings / Island,5,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
Regina Spektor,On the Radio,CD SINGLE,Sire,6,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
GoatMC Yallah,Nimerudi,,Rocket Recordings,7,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
Julio Bashmore,Holding On,Knockin' Boots,Broadwalk Records,8,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
Daft Punk,"Harder, Better, Faster, Stronger",,VIRGIN,9,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
Bassheads,Is Anybody Out There?,(CD Single),De Construction,10,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
Betty Harris,Ride Your Pony,,Sansu,11,Nick Grimshaw,"Guests, chat, and really good songs",2025-11-14T07:00:00+00:00
