artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
Tame Impala,Elephant,,Modular,6,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
AdamskiSeal,KillerSeal,"Now 17, Part 2  (Various Artists)",MCA,7,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Together,So Much Love To Give,So Much Love To Give,ROULE,8,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Led Zeppelin,Ramble On,,Atlantic,9,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
The Donnas,Take It Off,Take It Off,Atlantic,10,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Mighty Dub Katz,Magic Carpet Ride (Club Edit),Magic Carpet Ride,FFRR,11,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Soulwax,Gimme A Reason,,Because Music,12,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Madness,Shut Up,,Virgin,13,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Coi Leray,Players,,Republic Records,14,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Grimes,Oblivion,,4 A.D,15,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Bhundu Boys,Jit Jive,,WEA,16,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Laura Marling,Strange Girl,,Partisan/Chrysalis,17,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Sea Power,Waving Flags,CD SINGLE,ROUGH TRADE RECORDS,18,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Human Resource,Dominator,,R&S Records,19,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Lava La RueFoster the People,JET LAGGED,,BMG,20,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
New Order,The Perfect Kiss,,LONDON,21,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
TTSSFU,Upstairs,,Partisan,22,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Jacob Alon,Fairy In A Bottle,,Island,23,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Fiona Apple,Heavy Balloon,Fetch The Bolt Cutters,Epic,24,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Sleaford ModsSue Tompkins,No TouchSue Tompkins,,Rough Trade,25,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Primal Scream,Movin' On Up,,Dino,26,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
The Cribs,Never The Same,,Play It Again Sam,27,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Uffie,Pop The Glock,Sex Dreams and Denim Jeans,Because Music Limited,28,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Beach House,Zebra,CD SINGLE,BELLA UNION,29,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Broadcast,I Found The F,,Warp Records,30,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
KAVARI,IRON VEINS,,,31,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
The Charlatans,Appetite,,BMG,32,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
The Real RoxanneHowie Tee,(Bang Zoom) Let's Go-Go,Rap Attack  (Various Artists),K-Tel,33,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Blood Orange,Vivid Light,,RCA,34,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Mala,Changes,Forgive / Changes,DEEP MEDi MUSIK,35,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
Prostitute,M. Dada,,Mute Records,36,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
SAULT,Good Things Will Come After The Pressure,,Forever Living Originals,37,Nick Grimshaw,"Guests, chat, and really good songs",2026-01-22T07:00:00+00:00
The Soul Sisters,I Can't Stand It,,Sue Records Inc. ‎,0,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Dijon,HIGHER!,,R&R Digital,1,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Moses Sumney,Cut Me,,Jagajaguwar,2,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Courtney BarnettWaxahatchee,Site UnseenWaxahatchee,,,3,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
DEVO,Whip It,,Virgin,4,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Snooper,Guard Dog,,Third Man,5,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Monie Love,Monie In The Middle,,COOL TEMPO,6,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Queens of the Stone Age,No One Knows,,Interscope,7,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Ibibio Sound Machine,The Talking Fish,Ibibio Sound Machine,Sound Way,8,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Bizarre Inc,Playing With Knives,,Vinyl Solution ‎,9,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Ten City,That's The Way Love Is,Foundations,Atlantic Records,10,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
E-Z Rollers,Walk This Land,"Music From The Motion Picture Lock, Stock And Two Smoking Barrels",Rhino/Warner Records,11,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Kraftwerk,Musique Non-Stop,Techno Pop (2009 Remaster) [German Version],Parlophone UK,12,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Robyn,Sexistential,,Konnichiwa / Young,13,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
tUnE-yArDs,Look At Your Hands,,4AD,14,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
DJ Zinc,138 Trek,138 Trek,Phase:One,15,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Roy Davis Jr.Peven Everett,GabrielPeven Everett,,Large Records,16,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Wolf Alice,Bloom Baby Bloom,,Columbia,17,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
The Wedding Present,Brassneck,,RCA,18,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Radio Free Alice,Rule 31,,Double Drummer,19,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Charli xcx,Vroom Vroom,Vroom Vroom EP,Vroom Vroom Recordings,20,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
GorillazBizarrapAnoushka ShankarKara Jackson,Orange CountyBizarrapAnoushka ShankarKara Jackson,,Kong,21,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Franz Ferdinand,Do You Want To,CD SINGLE,Domino,22,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Suede,Antidepressants,,BMG,23,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Nilüfer Yanya,Stabilise,,ATO Records,24,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
Charlotte Day WilsonSaya Gray,LeanSaya Gray,Single,Stone Woman Music / XL Recordings,25,Nick Grimshaw,Sophie Turner and Very Specific Playlists,2026-01-21T07:00:00+00:00
